,title,artist,cluster,origin,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
9284,after hours,we are scientists,1,0,-1.3160807611088297,1.3413653046698424,-1.1906406928869304,0.639316608336783,-1.2812121102030212,-0.059478232909866806,-0.6986355214101393,-0.22593345300157436,-0.1292927896156557,-0.7275722990408175,1.3594348313004785,0.09002616996392997
9285,love it when you call,the feeling,5,0,0.15828709376736266,0.79921754845036,-1.4677642526140027,0.8251689936443366,0.7805108865553413,-0.588021560944921,-0.6412475759946793,-0.4086052213634531,-0.6706728022501648,1.1768515713262415,-0.22998103037335585,-0.254850936237172
9286,fascination,alphabeat,1,0,-0.6671068762701639,0.8337178602097817,0.19497710574843113,1.0271564734962757,-1.2812121102030212,-0.5750728379863785,-0.6976731322343599,-0.4082147712803668,-0.7779508692699062,1.3010531280893103,2.611408661045651,-0.9197325494068687
9287,i found out,the pigeon detectives,1,0,-0.8057226574978402,1.0062194190068898,-0.3592700137057135,1.5031417625556531,0.7805108865553413,-0.35965317422153464,-0.4443770931485186,-0.4086052213634531,0.6253959376743858,0.15425875397697292,0.8760030486643631,-2.0271602385873333
9288,tears dry on their own,amy winehouse,0,0,0.2086928323956086,-0.8173684882768237,-1.1906406928869304,-1.998173753576038,-1.2812121102030212,1.1306271226434512,1.3977396155113988,-0.4086052213634531,0.23245883172998422,-0.18108544928331363,-0.06205403910930581,-0.8323040476294635
9289,back to black,amy winehouse,0,0,-1.2467728704949914,-1.4137310201182547,0.47210066547550344,-2.1693850345747974,-1.2812121102030212,-0.5609469583952412,-0.16364697257884114,-0.4085164827082062,-0.6775336088618925,-0.5495500676804186,-0.018807391480055443,0.27781530607331467
9290,grace,the view,1,0,-1.9020474726621883,0.9865049551443632,-0.3592700137057135,1.0513591153128543,0.7805108865553413,-0.30432681248958016,-0.6853737187015774,-0.4086000701927339,1.6545169294335336,-0.32598726550689433,1.7297088613012193,-0.16094624914292202
9291,how to fly,sticky fingers,2,0,0.4733229601938998,-0.3146496597823947,0.7492242252025758,-0.7862488744644033,-1.2812121102030212,0.16771299718092486,-0.06381407052703555,-0.40115983175249503,-0.5534153801588195,0.10871818316384754,1.0274586438202613,-0.5136150158033529
9292,our town,sticky fingers,5,0,-0.35207100984362677,0.5133578224437235,1.026347784929648,0.3913142292286329,0.7805108865553413,-0.7128001639999673,-0.6944385462078814,-0.40776977938966535,-0.4598589263625334,0.4854629053451569,-1.2270544656376678,-0.6506875256501966
9293,dreamland,sticky fingers,2,0,-0.35837172717215754,0.15356885695261274,0.19497710574843113,0.17050247240824382,-1.2812121102030212,-0.3831963068734301,-0.695085463413177,-0.40848185298908546,-0.40372505408476167,0.2536199993874278,0.8760769114271802,0.35862595598006897
9294,hard to beat,hard-fi,5,0,-0.27646240190125787,0.6119301417563568,1.3034713446567203,0.6408105985723743,0.7805108865553413,-0.2195715349427563,-0.6897264332310361,-0.40859115304006033,-0.21037504957243694,1.2596526091682871,0.07267164026858165,0.5209555885626075
9295,makes me wonder,maroon 5,5,0,1.2735140609173035,0.7006452291377268,0.47210066547550344,1.2772504389342538,0.7805108865553413,-0.5797814645167576,-0.6793837445784691,-0.4070555414328002,-0.8546671613828609,1.5328960340470394,-0.3412922139383105,-0.33363777823241225
9296,cake by the ocean,dnce,2,0,1.0907932583899118,0.21764086450582434,-0.3592700137057135,0.37577673077848384,-1.2812121102030212,-0.3914364033015935,-0.09176728310154116,-0.4086052213634531,-0.9831513579297606,1.594996812428574,-0.15641371860779915,-0.1703771940105773
9297,greek tragedy,the wombats,5,0,-0.541092529699549,0.7893603165190967,1.5805949043837928,0.5891185364209165,0.7805108865553413,-0.20897712524940334,-0.6884885052455938,-0.408596520646524,0.09524269949543107,-0.24318622766484824,-1.1078399664513134,-0.36444013464565544
9298,sober,childish gambino,3,0,0.6308408934071676,-0.5758663059608727,-1.4677642526140027,0.017219074236579927,0.7805108865553413,-0.645702235942065,-0.2954264032872246,-0.40849570487673376,2.2220927491310034,-0.37152783632001973,-0.929572188392908,0.4947675141876162
9299,tell me baby,red hot chili peppers,5,0,0.5930365894359831,1.4005086962574222,-1.4677642526140027,1.0725737766582504,0.7805108865553413,-0.2796065232050899,-0.6916831581112515,-0.397956582733827,-0.7068479643847289,-0.9511351012143419,-0.5645424145521621,0.4068128223532175
9300,get down on it,kool & the gang,5,0,1.752368577885639,-0.40829336312939624,0.47210066547550344,0.10745608446629229,0.7805108865553413,-0.289023776265848,0.11987846924828674,-0.4083424683696245,-0.8652702261464401,1.8930805486599396,-0.4569613005094571,-0.29666280768905134
9301,why can't we be friends?,the academic,2,0,-0.18825235930182818,0.9569332593505732,1.026347784929648,0.7785564982938892,-1.2812121102030212,-0.6492337058398494,-0.6972059142527574,-0.40859712666660863,0.8748798144644825,0.8746277832027732,0.24960988859628477,-0.48501861001366
9302,bohemian rhapsody - remastered 2011,queen,0,0,-1.1774649798811536,-1.5024461074996243,-1.4677642526140027,-0.9634361164055274,-1.2812121102030212,-0.4126252226882995,0.3834373306650537,-0.4086052213634531,0.656581422273148,-1.1871180590641732,-1.9253160939265166,2.565264674220251
9303,i want to break free,queen,5,0,1.2987169302314263,-1.453159947843308,-0.3592700137057135,-0.6571681181093177,0.7805108865553413,-0.5856672476797314,-0.27945313895893575,-0.4084939733907777,-0.7074716740767041,-0.03618363305973316,-0.5278695528136085,-0.09078082885073141
9304,if you’re too shy (let me know) - edit,the 1975,5,0,0.31580502698063123,0.47885751068430243,-0.913517133159858,0.5562507512379088,0.7805108865553413,-0.6339306696161173,-0.6828179964090512,-0.38890956861353493,-0.6363687691915265,-0.5164296525436002,0.0887737225626496,0.24915818604627632
9305,overnight,parcels,2,0,1.3491226688596716,0.5429295182375136,0.7492242252025758,-0.8337577639562053,-1.2812121102030212,-0.3867277767712144,0.7548157262977705,-0.16836154496335193,-0.4972815078810478,1.4625151518813002,-0.12007323930192125,-0.16112839185495828
